"","Species","met_rate","mutation_rate","respiratory_rate","heart_rate","adult_mass","time_to_sexual_maturity_female","time_to_sexual_maturity_male","Litter_size"
"1","Black-and-white colobus",33.1219584,80.3605307959205,20.15,150,9950,1461,2192,1
"2","Cat",55.1,287.345278304282,50,153,3900,289,304,4
"3","Cow",18.2542464,207.342195768889,45.47,81.43,750000,548,365,1
"4","Dog",46.605,249.464940118807,26,124.2,40000,510,510,6
"5","Ferret",NA,496.39947996288,34.5,233.7,809,312,322,7.5
"6","Giraffe",17.29404,99.1123552190373,9.13,64.9,8e+05,1278,1644,1
"7","Horse",28.2,128.333268001033,12.5,40.2,3e+05,914,973,1
"8","Human",24.4284768,47.1245407279692,18.5,62.8,62035,4745,5110,1
"9","Lion",19.926864,159.866576740998,22.33,54.04,175000,1095,1095,3
"10","Mouse",310.9003776,796.423850330549,230,604,20.5,42,42,7
"11","Naked mole-rat",74.8754496,92.5653093394654,120.1,256,35,228,336,7
"12","Rabbit",70.4357856,216.999271781378,85.8,217.3,1800,730,126,5
"13","Rat",140.1281856,665.047682745009,180,359,300,90,70,9.9
"14","Ring-tailed lemur",NA,103.502790711557,43,148,2555,595,912,1.1
"15","Tiger",20.0507616,212.000990027659,56.1,76.67,119700,1268,1415,2.5
